#,USA State,GDP ,Mask Mandate,Lockdown,Governor,Case1,Death1,Test,Region,Case2,Death2,ln(GDP),ln(Death),ln(MaskMandate),ln(Lockdown),ln(Case)
1,Alabama,204.8846,268,27,R,264269,3943,B,S,C,D,5.322446894,8.279697134,5.590986981,3.295836866,12.4847228
2,Alaska,50.3003,0,28,R,327731,1634,C,W,D,B,3.918011041,7.398786275,,3.33220451,12.69994843
3,Arizona,337.4247,0,46,R,275760,4021,B,W,C,D,5.821342374,8.299285907,,3.828641396,12.5272862
4,Arkansas,120.7105,254,0,R,276071,3733,B,S,C,D,4.793395117,8.224967479,5.537334267,,12.52841336
5,California,2871.4242,622,163,D,230484,2256,B,W,B,B,7.962563423,7.721348613,6.432940093,5.093750201,12.34793672
6,Colorado,365.9183,302,32,D,234093,2257,B,W,B,B,5.902410084,7.721791777,5.710427017,3.465735903,12.36347375
7,Connecticut,245.7826,683,59,D,206793,3023,C,N,B,C,5.504447405,8.014004995,6.52649486,4.077537444,12.23947357
8,Delaware,64.338,418,69,D,266930,2947,A,N,C,C,4.164150436,7.988542983,6.035481433,4.234106505,12.49474173
9,Florida,1008.694,0,33,R,274569,3412,B,S,C,C,6.916411704,8.135053909,,3.496507561,12.52295787
10,Georgia,567.9395,0,28,R,235486,3490,B,S,B,C,6.342014899,8.157657015,,3.33220451,12.36940674
11,Hawaii,73.8795,704,68,D,170056,974,B,W,A,A,4.302435388,6.881411304,6.556778356,4.219507705,12.04388307
12,Idaho,77.9129,0,37,R,248570,2728,A,W,B,C,4.355591536,7.911324019,,3.610917913,12.42347977
13,Illinois,774.5878,590,70,D,242242,2974,C,M,B,C,6.652331017,7.997663127,6.380122537,4.248495242,12.39769251
14,Indiana,352.6241,254,39,R,251250,3480,B,M,C,C,5.865402617,8.154787573,5.537334267,3.663561646,12.43420374
15,Iowa,180.2661,82,0,R,270570,2994,B,M,B,C,5.194434093,8.004365565,4.406719247,,12.50828612
16,Kansas,162.734,273,35,D,264398,2882,A,M,C,C,5.092116966,7.966239777,5.609471795,3.555348061,12.48521082
17,Kentucky,194.34,337,96,D,294487,3355,B,S,C,C,5.269609202,8.118207049,5.82008293,4.564348191,12.59299014
18,Louisiana,227.7346,376,54,D,265125,3687,B,S,C,D,5.428180916,8.212568398,5.929589143,3.988984047,12.48795669
19,Maine,61.8151,389,60,D,175759,1638,B,N,A,B,4.124147671,7.401231264,5.963579344,4.094344562,12.07686902
20,Maryland,364.2424,393,47,R,167451,2373,B,S,A,B,5.89781958,7.771910256,5.973809612,3.850147602,12.02844605
21,Massachusetts,530.5051,388,56,R,246697,2918,D,N,C,C,6.273829572,7.978653729,5.96100534,4.025351691,12.41591614
22,Michigan,473.3331,423,70,D,239265,3575,B,M,B,C,6.159799369,8.181720455,6.047372179,4.248495242,12.385327
23,Minnesota,345.172,294,52,D,253578,2241,B,M,C,B,5.844042844,7.714677474,5.683579767,3.951243719,12.44342675
24,Mississippi,104.0098,56,25,R,267030,4166,B,S,C,D,4.644485125,8.334711622,4.025351691,3.218875825,12.49511629
25,Missouri,295.726,0,28,R,230018,3258,B,M,B,C,5.68943335,8.088868789,,3.33220451,12.34591285
26,Montana,49.2637,212,30,R,255077,3040,B,W,C,C,3.897187502,8.019612794,5.356586275,3.401197382,12.44932074
27,Nebraska,123.897,0,0,R,247017,2131,B,M,B,B,4.819450575,7.664346632,,,12.41721244
28,Nevada,155.5096,596,45,D,231524,3276,B,W,B,C,5.046707466,8.094378445,6.390240667,3.80666249,12.35243882
29,New Hampshire,81.9318,148,81,R,222605,1803,B,N,B,B,4.405887194,7.497207223,4.997212274,4.394449155,12.31315418
30,New Jersey,561.782,414,81,D,248119,3743,A,N,C,D,6.331113874,8.227642708,6.025865974,4.394449155,12.42166375
31,New Mexico,95.0122,644,252,D,247016,3471,B,W,B,C,4.554005304,8.152198016,6.467698726,5.529429088,12.41720839
32,New York,1491.8093,666,100,D,265133,3521,C,N,C,C,7.307744958,8.166500319,6.501289671,4.605170186,12.48798687
33,North Carolina,533.0898,323,54,D,250809,2213,B,S,C,B,6.27868989,7.70210434,5.777652323,3.988984047,12.43244697
34,North Dakota,55.73,65,0,R,314505,2942,A,M,C,C,4.020518602,7.986844901,4.17438727,,12.65875525
35,Ohio,615.4161,315,58,R,228658,3254,A,M,B,C,6.422298624,8.087640288,5.752572639,4.060443011,12.33998272
36,Oklahoma,195.0727,0,36,R,261273,3541,A,S,C,C,5.27337231,8.172164452,,3.583518938,12.47332112
37,Oregon,224.4286,577,89,D,167036,1695,B,W,A,B,5.413557617,7.43543802,6.357842267,4.48863637,12.02596464
38,Pennsylvania,713.6907,438,65,D,217375,3461,A,N,B,C,6.570449675,8.149312844,6.08221891,4.17438727,12.28937925
39,Rhode Island,54.2226,496,42,D,341251,3325,D,N,D,C,3.993097796,8.109224953,6.206575927,3.737669618,12.74037356
40,South Carolina,220.689,0,28,R,285147,3417,B,S,C,C,5.396754471,8.136518252,,3.33220451,12.56076012
41,South Dakota,48.9792,0,0,R,268023,3259,B,M,C,C,3.891395718,8.089175679,,,12.49882808
42,Tennessee,343.4484,0,31,R,295935,3752,A,S,C,D,5.839036882,8.23004431,,3.433987204,12.59789511
43,Texas,1831.3624,250,29,R,232958,3031,B,S,B,C,7.51281545,8.016647877,5.521460918,3.36729583,12.35861346
44,Utah,182.8813,153,0,R,289437,1470,B,W,C,A,5.208837309,7.29301768,5.030437921,,12.57569294
45,Vermont,29.6538,318,53,R,187183,989,C,N,A,A,3.389590279,6.896694332,5.762051383,3.970291914,12.13984203
46,Virginia,492.6257,351,63,D,195728,2310,B,S,A,B,6.199749656,7.745002804,5.860786223,4.143134726,12.18448122
47,Washington,568.3028,625,69,D,191239,1643,A,W,A,B,6.342654375,7.404279118,6.43775165,4.234106505,12.16127923
50,West Virginia,72.4815,0,42,R,277803,3814,B,S,C,D,4.283331357,8.246433786,,3.737669618,12.53466751
49,Wisconsin,302.7815,242,50,D,272355,2459,B,M,C,B,5.713011423,7.807510042,5.488937726,3.912023005,12.51486164
50,Wyoming,36.6609,97,0,R,269736,3095,B,W,C,C,3.601710792,8.037543185,4.574710979,,12.50519898
51,District Of Columbia,125.7958,393,47,D,193958,1889,C,S,B,B,4.834659957,7.543802868,5.973809612,3.850147602,12.17539692
